,car,starting_price,combined_mpg,expert_rating,consumer_rating
74,Certified 2018 MAZDA CX‑5 SUV,"$19,103",26 MPG,4.7 ,4.5 
75,Certified 2016 Audi A3 Sportback e‑tron Wagon,"$20,226",35 MPG | 83 MPGe,4.7 ,4.8 
76,Certified 2017 MAZDA MX‑5 Miata RF Convertible,"$20,292",29 MPG,4.7 ,4.9 
77,Certified 2016 Mercedes‑Benz CLA Sedan,"$20,296",30 MPG,4.7 ,4.6 
78,Certified 2017 Audi A3 Sedan,"$20,625",27 MPG,4.7 ,4.7 
79,Certified 2019 Hyundai Santa Fe SUV,"$20,993",23 MPG,4.7 ,4.9 
80,Certified 2018 MAZDA MX‑5 Miata Convertible,"$21,220",29 MPG,4.7 ,4.9 
81,Certified 2019 MAZDA CX‑5 SUV,"$21,230",26 MPG,4.7 ,4.5 
82,Certified 2018 Subaru Crosstrek SUV,"$21,350",25 MPG,4.7 ,4.4 
83,Certified 2019 Honda Accord Sedan,"$21,667",33 MPG,4.7 ,4.4 
84,Certified 2017 Toyota Prius Prime Hatchback,"$22,921",54 MPG | 133 MPGe,4.7 ,4.7 
85,Certified 2017 Honda Pilot SUV,"$23,200",21 MPG,4.7 ,3.4 
86,Certified 2018 Honda Odyssey Van/Minivan,"$23,305",22 MPG,4.7 ,3.7 
87,Certified 2018 MAZDA MX‑5 Miata RF Convertible,"$23,350",29 MPG,4.7 ,4.9 
88,Certified 2018 Toyota Camry Hybrid Sedan,"$23,352",52 MPG,4.7 ,3.9 
89,Certified 2018 Honda Clarity Plug‑in Hybrid Sedan,"$23,483",42 MPG | 110 MPGe,4.7 ,4.4 
90,Certified 2018 Chevrolet Bolt EV Hatchback,"$23,900",119 MPGe,4.7 ,4.8 
91,Certified 2016 Audi S3 Sedan,"$23,946",26 MPG,4.7 ,4.5 
92,Certified 2019 Chevrolet Bolt EV Hatchback,"$24,500",119 MPGe,4.7 ,4.8 
93,Used 2016 BMW X5 SUV,"$24,550",21 MPG,4.7 ,4.4 
94,Certified 2017 Audi A3 Sportback e‑tron Wagon,"$25,240",34 MPG | 83 MPGe,4.7 ,4.8 
95,Certified 2018 Honda Pilot SUV,"$25,350",21 MPG,4.7 ,3.4 
96,Certified 2018 Audi A4 Sedan,"$25,614",31 MPG,4.7 ,4.6 
97,Certified 2018 BMW X2 SUV,"$25,840",26 MPG,4.7 ,5 
